rank,word,reading,vid,sid,part_of_speech,meanings
1,する,する,1157170,460825390,vs; vi; vt; suf; aux-v,"to do; to carry out; to perform; to cause to become; to make (into); to turn (into); to serve as; to act as; to work as; to wear (clothes, a facial expression, etc.); to judge as being; to view as being; to think of as; to treat as; to use as; to decide on; to choose; to be sensed (of a smell, noise, etc.); to be (in a state, condition, etc.); to be worth; to cost; to pass (of time); to elapse; to place, or raise, person A to a post or status B; to transform A to B; to make A into B; to exchange A for B; to make use of A for B; to view A as B; to handle A as if it were B; to feel A about B; verbalizing suffix (applies to nouns noted in this dictionary with the part of speech ""vs""); creates a humble verb (after a noun prefixed with ""o"" or ""go""); to be just about to; to be just starting to; to try to; to attempt to"
2,ある,ある,1296400,2007970197,vi; v5; v5r-i,to be; to exist; to live; to have; to be located; to be equipped with; to happen; to come about
3,こと,こと,1313580,1661298782,n; suf,"thing; matter; incident; occurrence; event; something serious; trouble; crisis; circumstances; situation; state of affairs; work; business; affair; after an inflectable word, creates a noun phrase indicating something the speaker does not feel close to; nominalizing suffix; pretending to ...; playing make-believe ...; alias; also known as; otherwise known as; or; necessity; need; you should ...; I advise that you ...; it's important to ..."
4,なる,なる,1375610,4283029021,vi; v5; v5r; aux-v,to become; to get; to grow; to turn; to reach; to attain; to result in; to turn out; to end up; to prove (to be); to consist of; to be composed of; to be made up of; to be completed; to be realized; to succeed; to be attained; to be accomplished; to change (into); to turn (into); to transform; to come (to do); to begin (to do); to grow (to do); to come to; to amount to; to add up to; to make; to play (the part of); to act as; to be used for; to be useful for; to serve as; to be promoted; to do ...
5,それ,それ,1006970,3897411395,pn,that; it; then; that point (in time); that time; there; you
6,いる,いる,1577980,895877539,vi; v1; aux-v,to be (of animate objects); to exist; to stay; to be ...-ing; to have been ...-ing
7,思う,おもう,1589350,3737793312,vt; v5; v5u,to think; to consider; to believe; to reckon; to think (of doing); to plan (to do); to judge; to assess; to regard; to imagine; to suppose; to dream; to expect; to look forward to; to feel; to be (in a state of mind); to desire; to want; to recall; to remember
8,この,この,1582920,1661299652,adj-pn,"this; last (couple of years, etc.); these; past; this; you (as in ""you liar"")"
9,その,その,1006830,3896837630,adj-pn; int,"that; the; part (as in ""part two""); um ...; er ...; uh ..."
10,言う,いう,1587040,1847411251,v5; v5u,"to say; to utter; to declare; to name; to call; to go (e.g. ""the alarm went ping""); to make a noise"
11,ない,ない,1529520,4283590171,adj-i; aux-adj,nonexistent; not being (there); unowned; not had; unpossessed; unique; not; impossible; won't happen; not; to not be; to have not
12,そう,そう,2137720,3896848070,adv; int,in that way; thus; such; so; so?
13,私,わたし,1311110,1819875830,pn,I; me
14,いい,いい,2820690,895801849,adj-i,"good; excellent; fine; nice; pleasant; agreeable; sufficient; enough; ready; prepared; profitable (deal, business offer, etc.); beneficial; OK; all right; fine; no problem"
15,これ,これ,1628530,1661086937,pn; adv,this; this one; this person; now; this point (in time); here; used to stress the subject of a sentence; I; me
16,見る,みる,1259290,3110766742,vt; v1; aux-v,"to see; to look; to watch; to view; to observe; to examine; to look over; to assess; to check; to judge; to look after; to attend to; to take care of; to keep an eye on; to experience; to meet with (misfortune, success, etc.); to try ...; to have a go at ...; to give ... a try; to see (that) ...; to find (that) ..."
17,だけ,だけ,1007340,1339419198,prt,only; just; merely; simply; no more than; nothing but; alone; as much as; to the extent of; enough to
18,くる,くる,1547720,2798731624,vi; vk; aux-v,"to come (spatially or temporally); to approach; to arrive; to come back; to do ... and come back; to come to be; to become; to get; to grow; to continue; to come from; to be caused by; to derive from; to come to (i.e. ""when it comes to spinach ..."")"
19,くれる,くれる,1269130,3882568297,vt; v1-s; aux-v,to give; to let (one) have; to give; to do for one; to take the trouble to do; to do to someone's disadvantage
20,さん,さん,1005340,1964648434,suf,Mr.; Mrs.; Miss; Ms.; -san; politeness marker
21,やる,やる,1012980,4075472354,vt; v5; v5r; vi; suf; aux-v,"to do; to undertake; to perform; to play (a game); to study; to send; to dispatch; to despatch; to put; to move; to turn (one's head, glance, etc.); to give (esp. to someone of equal or lower status); to let have; to present; to bestow; to confer; to make (a vehicle) go faster; to run (a business); to keep; to be engaged in; to practice (law, medicine, etc.); to practise; to have (food, drink, etc.); to eat; to drink; to smoke; to hold (a performance); to perform; to show; to ease (one's mind); to harm; to injure; to kill; to have sex with; to live; to get by; to get along; to do ... completely; to do ... broadly; to do ... to a great distance; to do ... for (someone of equal or lower status); to do ... to; to make active efforts to ..."
22,まで,まで,1525680,3145970714,prt,until (a time); till; to; up to; to (a place or person); as far as; to (an extent); up to; so far as; even; only; merely
23,もの,もの,1502390,3723560172,n; suf; pref,"thing; object; article; stuff; substance; one's things; possessions; property; belongings; things; something; anything; everything; nothing; quality; reason; the way of things; used to emphasize emotion, judgment, etc.; used to indicate a common occurrence in the past (after a verb in past tense); used to indicate a general tendency; used to indicate something that should happen; item classified as ...; item related to ...; work in the genre of ...; cause of ...; cause for ...; somehow; somewhat; for some reason; really; truly"
24,行く,いく,1578850,495123619,vi; v5; v5k-s; aux-v,to go; to move (in a direction or towards a specific location); to head (towards); to be transported (towards); to reach; to proceed; to take place; to pass through; to come and go; to walk; to do (in a specific way); to stream; to flow; to continue; to have an orgasm; to come; to cum; to trip; to get high; to have a drug-induced hallucination
25,という,という,1922760,3198460061,exp,called; named; that says; that; as many as; as much as; all ...; every single ...
26,もう,もう,1012480,3723549732,adv; int,now; soon; shortly; before long; presently; already; yet; by now; (not) anymore; further; more; again; another; the other; tsk; dammit; jeez; come on; what the hell
27,だから,だから,1007310,2546880360,conj; exp,so; therefore; accordingly; consequently; on those grounds; that is why; for that reason; like I said; I told you already
28,そんな,そんな,1007130,958263740,adj-pn; int,such; that sort of; that kind of; like that; no way!; never!
29,あの,あの,1000420,2008528737,adj-pn,that; those; the
30,しまう,しまう,1305380,1109988858,vt; v5; v5u; aux-v,"to finish; to stop; to end; to put an end to; to bring to a close; to close (a business, etc.); to close down; to shut down; to shut up; to put away; to put back; to keep; to store; to do completely; to finish; to do accidentally; to do without meaning to; to happen to do"
31,来る,くる,1547720,1154899103,vi; vk; aux-v,"to come (spatially or temporally); to approach; to arrive; to come back; to do ... and come back; to come to be; to become; to get; to grow; to continue; to come from; to be caused by; to derive from; to come to (i.e. ""when it comes to spinach ..."")"
32,人,ひと,1580640,1736745155,n,person; someone; somebody; human beings; mankind; man; people; humans; human (Homo sapiens); (other) people; others; character; personality; nature; capable person; competent person; suitable person; right person; adult; grown-up; I; me; one
33,ここ,ここ,1288810,1661287907,pn,here; this place; this point; here; now; these past ... (e.g. three years); these last ...; the next ... (e.g. few days); these next ...
34,お,お,2826528,2204757305,pref,honorific/polite/humble prefix
35,とする,とする,2136890,2749783340,exp; vs,to try to ...; to be about to do ...; to decide to ...; to take as; to treat as; to regard as; to use for; to suppose that (such) is the case; to assume; to decide that; to think that; to make into; to change into; to feel (e.g. after sound symbolism or psychological experience word); to look; to feel like; to intend; to have the intention
36,自分,じぶん,1318610,3437381511,pn,myself; yourself; oneself; himself; herself; I; me; you
37,じゃない,じゃない,2755350,3798610129,adj-i; exp,is not; am not; are not; isn't it?
38,知る,しる,1420470,2987388496,vt; v5; v5r,to be aware of; to know; to be conscious of; to cognize; to cognise; to notice; to feel; to understand; to comprehend; to grasp; to remember; to be acquainted with (a procedure); to experience; to go through; to learn; to be acquainted with (a person); to get to know; to concern
39,なら,なら,1009470,4283028151,aux; conj,if; in case; if it is the case that; if it is true that; as for; on the topic of; if that's the case; if so; that being the case
40,今,いま,1288850,1736536790,adv; adj-no; n,now; the present time; just now; soon; immediately; another; more
41,聞く,きく,1591110,3865890281,vt; v5; v5k,"to hear; to listen (e.g. to music); to ask; to enquire; to query; to hear about; to hear of; to learn of; to follow (advice, order, etc.); to obey; to listen to; to comply with; to hear (e.g. a plea); to grant (a request); to accept (e.g. an argument); to give consideration to; to smell (esp. incense); to sample (a fragrance); to taste (alcohol); to try"
42,ような,ような,2409180,3458298420,adj-pn; exp,like; similar to; (I) think (that); (I) have a feeling (that); feels like; feels similar to; feels as if
43,何,なん,2846738,1737572525,pn; pref,what; how many; many; a lot of; several; a few; some
44,前,まえ,1392580,1712394290,n; adv; adj-no; suf,"in front (of); before (e.g. a building); before; earlier; previously; prior; ago; (minutes) to (the hour); (the) front; frontal part; fore; head (e.g. of a line); forward; ahead; (in the) presence (of); in front (of someone); previous (e.g. page); prior (e.g. engagement); first (e.g. half); former (e.g. example); portion; helping; front (of one's body or clothing); breast (of a coat, kimono, etc.); privates; private parts; criminal record; previous conviction; (a) prior"
45,出る,でる,1338240,2094085577,vi; v1,"to leave; to exit; to go out; to come out; to get out; to leave (on a journey); to depart; to start out; to set out; to move forward; to come to; to get to; to lead to; to reach; to appear; to come out; to emerge; to surface; to come forth; to turn up; to be found; to be detected; to be discovered; to be exposed; to show; to be exhibited; to be on display; to appear (in print); to be published; to be announced; to be issued; to be listed; to come out; to attend; to participate; to take part; to enter (an event); to play in; to perform; to be stated; to be expressed; to come up; to be brought up; to be raised; to sell; to exceed; to go over; to stick out; to protrude; to break out; to occur; to start; to originate; to be produced; to come from; to be derived from; to be given; to get; to receive; to be offered; to be provided; to be presented; to be submitted; to be handed in; to be turned in; to be paid; to answer (phone, door, etc.); to get; to assume (an attitude); to act; to behave; to pick up (speed, etc.); to gain; to flow (e.g. tears); to run; to bleed; to graduate; to ejaculate; to cum"
46,中,うち,1457730,1737097940,adv; n,"inside; within; while (e.g. one is young); during; within (e.g. a day); in the course of; among; amongst; (out) of; between; in (secret, chaos, poverty, etc.); amidst; with (e.g. success); within oneself; one's feelings; inner thoughts"
47,ように,ように,1013110,3458298855,exp,in order to (e.g. meet goal); so that; take care (so as); hoping or wishing for something
48,顔,かお,1217730,2644243025,n,face; visage; look; expression; countenance; honor; honour; face; influence; notoriety
49,また,また,1524930,3145946354,adv; conj; pref,"again; once more; once again; another time; some other time; also; too; as well; likewise; on the other hand; while; and; in addition; besides; moreover; furthermore; or; otherwise; really; how; (what, why) on earth; indirect"
50,考える,かんがえる,1281020,345772560,vt; v1,"to think (about, of); to think over; to ponder; to contemplate; to reflect (on); to meditate (on); to consider; to bear in mind; to allow for; to take into consideration; to think (that); to believe; to hold (a view); to judge; to conclude; to suspect; to intend (to do); to think of (doing); to plan; to predict; to anticipate; to expect; to imagine; to come up with; to think up; to contrive; to devise; to consider (as); to regard (as); to look on (as); to take; to view"
51,どう,どう,1008910,157196650,adv,how; in what way; how about
52,そして,そして,1006730,4250210705,conj,and; and then; thus; and now; and finally
