chip_id,current_name,current_nameEn,current_description,status,proposed_name,proposed_nameEn,proposed_description,noun_rank,adjective_rank,notes
ballpointPen,ボールペン,Ballpoint Pen,普通のボールペン。意外と便利。,MODIFY,古いボールペン,Old Ballpoint Pen,使い込んだボールペン。意外と便利。,5700,800,Added 古い (old) - fits well-used office item
kitchenKnife,包丁,Kitchen Knife,料理用の包丁。攻撃力アップ。,MODIFY,鋭い包丁,Sharp Kitchen Knife,切れ味のいい包丁。攻撃力アップ。,5700,1900,Added 鋭い (sharp) - natural fit for knife
sneakers,スニーカー,Sneakers,履き慣れたスニーカー。素早く動ける。,KEEP,履き慣れたスニーカー,Worn Sneakers,履き慣れたスニーカー。素早く動ける。,2800,-,Already has adjective in description; using same
pot,鍋,Pot,頑丈な鍋。盾代わりになる。,MODIFY,重い鍋,Heavy Pot,頑丈で重い鍋。盾代わりになる。,3500,1200,Added 重い (heavy) - emphasizes defensive use
smartphone,スマホ,Smartphone,ハッキング用にカスタマイズされたスマホ。,MODIFY,改造スマホ,Modded Smartphone,ハッキング用にカスタマイズされたスマホ。,1800,2500,Added 改造 (modded) - fits hacking theme
wallet,財布,Wallet,幸運のお守りが入った財布。,MODIFY,古い財布,Old Wallet,お守りが入った使い込んだ財布。,3200,800,Added 古い (old) - well-used lucky item
broom,ほうき,Broom,掃除用のほうき。リーチが長い。,MODIFY,長いほうき,Long Broom,柄の長いほうき。リーチがある。,3800,500,Added 長い (long) - emphasizes reach
calculator,電卓,Calculator,高性能電卓。計算が速くなる。,KEEP,高性能電卓,High-Performance Calculator,高性能電卓。計算が速くなる。,4500,-,Already has 高性能 (high-performance)
dumbbell,ダンベル,Dumbbell,筋トレ用のダンベル。パワーアップ。,MODIFY,重いダンベル,Heavy Dumbbell,筋トレ用の重いダンベル。パワーアップ。,6500,1200,Added 重い (heavy) - natural for weight training
earrings,イヤリング,Earrings,幸運を呼ぶイヤリング。,MODIFY,きれいなイヤリング,Pretty Earrings,幸運を呼ぶきれいなイヤリング。,5500,1500,Added きれいな (pretty) - fits accessory
thumbtack,画鋲,Thumbtack,踏んだら痛い。データ破損を引き起こす。,MODIFY,鋭い画鋲,Sharp Thumbtack,踏んだら痛い鋭い画鋲。,2500,1900,Added 鋭い (sharp) - natural for tack
icePack,保冷剤,Ice Pack,冷たい保冷剤。敵の動きを遅くする。,KEEP,冷たい保冷剤,Cold Ice Pack,冷たい保冷剤。敵の動きを遅くする。,7000,-,Already has 冷たい (cold) in description
hammer,ハンマー,Hammer,重いハンマー。衝撃でシステムをフリーズ。,KEEP,重いハンマー,Heavy Hammer,重いハンマー。衝撃でシステムをフリーズ。,4500,-,Already has 重い (heavy) in description
sprayPaint,スプレー塗料,Spray Paint,視界を塞ぐスプレー。スキルを封じる。,MODIFY,赤いスプレー,Red Spray Paint,視界を塞ぐ赤いスプレー。,4500,700,Added 赤い (red) - vivid color for paint
mirror,鏡,Mirror,割れた鏡。弱点を露出させる。,KEEP,割れた鏡,Broken Mirror,割れた鏡。弱点を露出させる。,3200,-,Already has 割れた (broken)
lighter,ライター,Lighter,100円ライター。オーバーヒートを誘発。,MODIFY,安いライター,Cheap Lighter,100円の安いライター。オーバーヒートを誘発。,4200,600,Added 安い (cheap) - fits 100 yen theme
sewingNeedle,縫い針,Sewing Needle,細い針。データを断片化させる。,KEEP,細い縫い針,Thin Sewing Needle,細い針。データを断片化させる。,5500,-,Already has 細い (thin)
frozenGyoza,冷凍餃子,Frozen Gyoza,凍った餃子。当たると痛い。,KEEP,冷凍餃子,Frozen Gyoza,凍った餃子。当たると痛い。,5000,-,Already has 冷凍 (frozen)
