word,reading,meaning,rank,source,existingUses
買う,かう,"to buy; to purchase; to value; to have a high opinion; to stir; to provoke; to draw upon oneself",400,consensus,
高い,たかい,"high; tall; expensive; high-priced; high (level); above average (in degree, quality, etc.); loud; high-pitched; shrill",300,consensus,"area-mod:himitsuno-toshokan-tall-bookshelf; area-mod:mahouno-gakkou-high-rooftop"
選ぶ,えらぶ,"to choose; to select",400,consensus,
服,ふく,"clothes (esp. Western clothes); counter for doses of medicine, gulps of tea, drags of a cigarette, etc.",700,consensus,
お金,おかね,money,1000,consensus,
売る,うる,to sell,1100,consensus,
包む,つつむ,"to wrap up; to pack; to bundle; to do up; to cover; to envelop; to shroud; to engulf; to conceal (a feeling); to hide...",1100,consensus,move:tsutsumu
靴,くつ,"shoe; shoes; boots; footwear; footgear",2100,consensus,
安い,やすい,"cheap; inexpensive; calm; peaceful; quiet",2200,consensus,
店員,てんいん,"employee (of a store); shop assistant; clerk; salesperson",3400,consensus,
帽子,ぼうし,"hat; cap",3700,consensus,
財布,さいふ,"purse; handbag; wallet",4100,consensus,
本屋,ほんや,"bookstore; bookshop; publisher; main building",10200,consensus,
レジ,レジ,"(cash) register; cashier",11100,consensus,
本,ほん,"book; volume; script; this; present; main; head; real; regular; counter for long cylindrical things; counter for film...",400,consensus,creature:honmo
円,えん,"yen (Japanese monetary unit); circle",1200,consensus,
便利,べんり,"convenient; handy; useful",2600,consensus,
お菓子,おかし,"confections; sweets; candy; cake",3200,consensus,
通路,つうろ,"passage; pathway; roadway; avenue; aisle",3300,consensus,
出口,でぐち,"exit; gateway; way out; outlet; vent; leak",3800,consensus,
階,かい,"storey; story; floor; stairs; stage (in chronostratigraphy); counter for storeys and floors of a building",3800,consensus,
洋服,ようふく,Western-style clothes (cf. traditional Japanese clothes),6700,consensus,
駐車場,ちゅうしゃじょう,"parking lot; car park; carpark; parking garage",8900,consensus,
閉店,へいてん,"closing up shop (for the day); stopping business; going out of business",13500,consensus,
パン屋,パンや,"bakery; baker; pastry shop",14600,consensus,
花屋,はなや,"florist; flower shop",18300,consensus,
地下,ちか,"underground; below the ground; world of the dead; the grave; underground (activities, movement, etc.); secret; illega...",2000,consensus,area-loc:himitsuno-toshokan-deep-underground
時計,とけい,"clock; watch; timepiece",2400,consensus,item:hourglass
シャツ,シャツ,"shirt (undergarment); undershirt; singlet; shirt (outerwear; usu. with collar and buttons)",3600,consensus,
スカート,スカート,skirt,3200,consensus,
コート,コート,"coat; coating",4500,consensus,
家具,かぐ,furniture,5800,consensus,
商店街,しょうてんがい,"shopping district; shopping street; downtown",6000,consensus,
店長,てんちょう,shop manager,8300,consensus,
商店,しょうてん,"shop; small store; business; firm",10800,consensus,
配達,はいたつ,delivery,12300,consensus,
在庫,ざいこ,"stock; inventory",12700,consensus,
デパート,デパート,"department store; department",12900,consensus,
中古,ちゅうこ,"used; second-hand; old; Middle Ages (in Japan esp. Heian period)",20900,consensus,
百貨店,ひゃっかてん,"(department) store; (department) stores",23300,consensus,
大きい,おおきい,"big; large; great; loud; extensive; spacious; important; decisive; valuable; older; grown up",300,consensus,
新しい,あたらしい,"new; novel; fresh; recent; latest; up-to-date; modern",400,consensus,
小さい,ちいさい,"small; little; tiny; slight; below average (in degree, amount, etc.); minor; small; low (e.g. sound); soft (e.g. voic...",400,consensus,
探す,さがす,"to search for; to look for; to hunt for; to seek; to search (a house, pocket, etc.); to search through; to rummage in...",600,consensus,
着る,きる,"to wear (in modern Japanese, from the shoulders down); to put on; to bear (guilt, etc.)",700,consensus,
並ぶ,ならぶ,"to line up; to stand in a line; to rival; to match; to equal",800,consensus,
払う,はらう,"to pay (e.g. money, bill); to brush off; to wipe away; to clear away; to dust off; to cut off (e.g. branches); to dri...",1100,consensus,
