object_jp,object_rank,object_en,descriptor_jp,descriptor_rank,descriptor_en
顔,100,face,いい,100,good
手,200,hand,早い,200,early/fast
音,200,sound,強い,200,strong
頭,200,head,悪い,200,bad
目,200,eye,大きい,300,big
声,200,voice,長い,300,long
体,300,body,高い,300,tall/expensive
心,300,heart,楽しい,300,fun
口,300,mouth,多い,300,many
水,400,water,深い,400,deep
本,400,book,新しい,400,new
足,400,foot,小さい,400,small
夢,400,dream,少ない,400,few
胸,500,chest,近い,400,near
光,600,light,広い,500,wide
腕,600,arm,重い,500,heavy
髪,600,hair,若い,500,young
首,700,neck,良い,600,good
指,700,finger,怖い,600,scary
耳,700,ear,優しい,600,gentle
血,700,blood,軽い,600,light
空,700,sky,痛い,600,painful
背中,700,back,美しい,700,beautiful
壁,700,wall,面白い,700,interesting
色,700,color,難しい,700,difficult
服,700,clothes,赤い,700,red
肩,700,shoulder,白い,700,white
食事,800,meal,静かな,700,quiet
金,800,money,激しい,800,intense
風,800,wind,黒い,800,black
窓,800,window,遅い,800,slow
腰,800,waist,珍しい,800,rare
涙,800,tear,暗い,900,dark
木,900,tree,正しい,900,correct
息,900,breath,厳しい,900,harsh
火,1000,fire,低い,900,low
雨,1000,rain,短い,900,short
熱,1000,heat,弱い,1000,weak
車,1000,car,恐ろしい,1000,terrifying
席,1000,seat,素晴らしい,1000,wonderful
写真,1000,photo,薄い,1100,thin
腹,1100,belly,青い,1100,blue
肉,1400,flesh,寒い,1200,cold (weather)
傷,1400,wound,暑い,1200,hot (weather)
影,1400,shadow,古い,1200,old
床,1400,floor,細い,1300,thin/slender
石,1500,stone,速い,1300,fast
武器,1500,weapon,嬉しい,1300,happy
椅子,1500,chair,明るい,1300,bright
星,1500,star,悲しい,1400,sad
机,1500,desk,厚い,1400,thick
薬,1600,medicine,狭い,1400,narrow
お茶,1600,tea,危ない,1400,dangerous
酒,1600,alcohol,熱い,1500,hot (touch)
鍵,1600,key,眠い,1500,sleepy
舌,1600,tongue,涼しい,1600,cool
穴,1600,hole,硬い,1600,hard
猫,1600,cat,固い,1700,firm
紙,1700,paper,甘い,1700,sweet
箱,1700,box,温かい,1700,warm
絵,1700,picture,丸い,1800,round
船,1700,ship,鋭い,1900,sharp
制服,1800,uniform,冷たい,2000,cold (touch)
道具,1800,tool,汚い,2100,dirty
雪,1800,snow,柔らかい,2100,soft
鼻,1800,nose,浅い,2200,shallow
毒,1900,poison,苦い,2200,bitter
魚,1900,fish,鈍い,2300,dull
歌,1900,song,太い,2300,thick/fat
鏡,2000,mirror,辛い,2400,spicy
ご飯,2100,cooked rice,酸っぱい,2500,sour
布,2100,cloth,尖った,2700,pointed
土,2100,earth,丈夫な,2800,sturdy
氷,2100,ice,幸運の,3000,lucky
